media,varianza,asimetria,curtosis,maximo,minimo,medias_fourier,varianzas_fourier,asimetria_fourier,curtosis_fourier,maximos_fourier,minimos_fourier
129.5134929906542,724.9110523628793,-1.2270078440288328,2.605567706713673,174,14,1442.013419030284,1795382533.299336,301.641206558571,94566.41864124147,13303625.999999996,2.2270976202999173
114.44183216510903,573.7721422039187,-2.571179409238998,7.94877611994349,144,2,1361.2805335591327,1402401742.3089519,301.43930879911335,94487.19849473727,11755464.999999996,0.7274335074446303
129.47980919003115,546.7336850103205,-2.872989680319316,7.485317079329869,227,12,1299.1474583192994,1776575655.8815415,306.0757277770782,96480.66833962788,13300165.999999996,1.707125115030328
127.93074376947041,511.0409784966511,-2.538978530147006,5.707744643269212,203,16,1313.596283335921,1731912382.8044052,306.68240975751166,96747.95338263312,13141045.999999996,1.7105435293861042
125.13639018691589,1187.333188994172,-1.5584568870381958,2.528671296125525,171,3,1582.6638173018707,1727962451.2414024,289.3103541644922,89014.50942000884,12854009.999999996,0.9606465829811792
123.74122858255451,1250.8559637553824,-1.4738567400252185,2.010319707554096,170,3,1622.4089729271705,1698693224.124565,286.8705765502972,88057.7382885967,12710698.999999996,2.057210148163259
125.45051596573208,1159.214315349044,-1.5201909688019426,2.394298920103041,170,2,1588.4240158767384,1733141502.1457853,289.92600424284933,89363.2915523463,12886276.999999996,1.3137430802273034
107.80719431464175,1991.270370749625,0.1932784703318511,0.40546280507788923,240,2,2066.907226905471,1394123205.5153651,256.9486253935351,75366.5144229708,11073954.999999996,3.0699531989379953
124.64854945482865,1905.713038199657,-0.7692150706935338,-0.15823993161665806,187,5,1716.1628173859099,1788797066.1842206,273.76307585019873,81905.28008543176,12803898.999999996,1.4739758517255122
123.04926985981308,741.1696421849637,-1.5696938823456075,2.776103076678133,173,12,1398.272086288205,1629473916.1727057,299.33175659087163,93546.24490538985,12639620.999999996,0.8783003542607475
125.0317562305296,674.7845250309191,-1.3294714144274413,3.373825509818415,187,0,1596.1424956732799,1672581799.1335049,301.8266410292082,94641.3255450145,12843261.999999996,1.0750632605431265
127.35206386292835,567.9980720644573,-2.5844532596322867,5.8161401434979165,216,13,1316.7866975815632,1722580102.7930713,305.06354321260864,96042.04228809963,13081603.999999996,0.8311465495879029
